date;state;city;place_type;confirmed;deaths;order_for_place;is_last;estimated_population_2019;estimated_population;city_ibge_code;confirmed_per_100k_inhabitants;death_rate;country;state_name
2022-02-05;AL;Roteiro;city;434;14;616;True;6664.0;6649.0;2707800.0;6527.29734;0.0323;Brazil;Alagoas
2022-02-05;AL;Santa Luzia do Norte;city;594;9;638;True;7296.0;7320.0;2707909.0;8114.7541;0.0152;Brazil;Alagoas
2022-02-05;AL;Santana do Ipanema;city;5479;104;631;True;47654.0;47819.0;2708006.0;11457.78875;0.019;Brazil;Alagoas
2022-02-05;AL;Santana do Mundaú;city;873;19;610;True;10740.0;10687.0;2708105.0;8168.80322;0.0218;Brazil;Alagoas
2022-02-05;AL;Satuba;city;1308;39;648;True;13828.0;13936.0;2708907.0;9385.76349;0.0298;Brazil;Alagoas
2022-02-05;AL;Senador Rui Palmeira;city;423;13;613;True;13870.0;13921.0;2708956.0;3038.57482;0.0307;Brazil;Alagoas
2022-02-05;AL;São Brás;city;474;4;609;True;6961.0;6969.0;2708204.0;6801.54972;0.0084;Brazil;Alagoas
2022-02-05;AL;São José da Laje;city;1226;30;626;True;23927.0;23996.0;2708303.0;5109.18486;0.0245;Brazil;Alagoas
2022-02-05;AL;São José da Tapera;city;1414;41;618;True;32260.0;32405.0;2708402.0;4363.52415;0.029;Brazil;Alagoas
2022-02-05;AL;São Luís do Quitunde;city;1517;27;624;True;34555.0;34692.0;2708501.0;4372.76606;0.0178;Brazil;Alagoas
2022-02-05;AL;São Miguel dos Campos;city;4491;102;638;True;61251.0;61797.0;2708600.0;7267.34307;0.0227;Brazil;Alagoas
2022-02-05;AL;São Miguel dos Milagres;city;342;15;644;True;7951.0;8013.0;2708709.0;4268.0644;0.0439;Brazil;Alagoas
2022-02-05;AL;São Sebastião;city;1965;38;637;True;34152.0;34290.0;2708808.0;5730.53368;0.0193;Brazil;Alagoas
2022-02-05;AL;Tanque d'Arca;city;465;12;617;True;6162.0;6138.0;2709004.0;7575.75758;0.0258;Brazil;Alagoas
2022-02-05;AL;Taquarana;city;783;26;632;True;19980.0;20072.0;2709103.0;3900.95656;0.0332;Brazil;Alagoas
2022-02-05;AL;Teotônio Vilela;city;2363;71;630;True;44169.0;44372.0;2709152.0;5325.43045;0.03;Brazil;Alagoas
2022-02-05;AL;Traipu;city;738;25;609;True;27715.0;27826.0;2709202.0;2652.19579;0.0339;Brazil;Alagoas
2022-02-05;AL;União dos Palmares;city;3304;89;646;True;65611.0;65790.0;2709301.0;5022.03982;0.0269;Brazil;Alagoas
2022-02-05;AL;Viçosa;city;2125;39;644;True;25733.0;25693.0;2709400.0;8270.73522;0.0184;Brazil;Alagoas
2022-02-05;AL;Água Branca;city;806;25;598;True;20196.0;20230.0;2700102.0;3984.18191;0.031;Brazil;Alagoas
2021-10-03;ES;Afonso Cláudio;city;3682;63;491;True;30586.0;30455.0;3200102.0;12089.96881;0.0171;Brazil;Espírito Santo
2021-10-03;ES;Alegre;city;3350;69;471;True;30084.0;29975.0;3200201.0;11175.97998;0.0206;Brazil;Espírito Santo
2021-10-03;ES;Alfredo Chaves;city;2721;40;480;True;14601.0;14636.0;3200300.0;18591.14512;0.0147;Brazil;Espírito Santo
2021-10-03;ES;Alto Rio Novo;city;787;24;492;True;7836.0;7874.0;3200359.0;9994.91999;0.0305;Brazil;Espírito Santo
2021-10-03;ES;Anchieta;city;5369;92;476;True;29263.0;29779.0;3200409.0;18029.48386;0.0171;Brazil;Espírito Santo
2021-10-03;ES;Apiacá;city;985;38;473;True;7567.0;7554.0;3200508.0;13039.4493;0.0386;Brazil;Espírito Santo
2021-10-03;ES;Aracruz;city;17652;237;491;True;101220.0;103101.0;3200607.0;17121.07545;0.0134;Brazil;Espírito Santo
2021-10-03;ES;Atilio Vivacqua;city;1716;30;464;True;11936.0;12105.0;3200706.0;14175.96035;0.0175;Brazil;Espírito Santo
2021-10-03;ES;Baixo Guandu;city;3899;82;464;True;30998.0;31132.0;3200805.0;12524.09097;0.021;Brazil;Espírito Santo
2021-10-03;ES;Barra de São Francisco;city;5370;223;464;True;44650.0;44979.0;3200904.0;11938.90482;0.0415;Brazil;Espírito Santo
2021-10-03;ES;Boa Esperança;city;1772;46;485;True;15037.0;15092.0;3201001.0;11741.3199;0.026;Brazil;Espírito Santo
2021-10-03;ES;Bom Jesus do Norte;city;1273;30;477;True;9936.0;9962.0;3201100.0;12778.55852;0.0236;Brazil;Espírito Santo
2021-10-03;ES;Brejetuba;city;1785;16;476;True;12404.0;12427.0;3201159.0;14363.88509;0.009;Brazil;Espírito Santo
2021-10-03;ES;Cachoeiro de Itapemirim;city;30134;620;503;True;208972.0;210589.0;3201209.0;14309.38938;0.0206;Brazil;Espírito Santo
2021-10-03;ES;Cariacica;city;44441;1401;503;True;381285.0;383917.0;3201308.0;11575.67912;0.0315;Brazil;Espírito Santo
2021-10-03;ES;Castelo;city;6786;128;497;True;37534.0;37747.0;3201407.0;17977.58762;0.0189;Brazil;Espírito Santo
2021-10-03;ES;Colatina;city;20292;351;489;True;122499.0;123400.0;3201506.0;16444.08428;0.0173;Brazil;Espírito Santo
2021-10-03;ES;Conceição da Barra;city;2020;66;464;True;31063.0;31273.0;3201605.0;6459.24599;0.0327;Brazil;Espírito Santo
2021-10-03;ES;Conceição do Castelo;city;1687;30;464;True;12723.0;12806.0;3201704.0;13173.51242;0.0178;Brazil;Espírito Santo
2021-10-03;ES;Divino de São Lourenço;city;484;10;464;True;4304.0;4270.0;3201803.0;11334.89461;0.0207;Brazil;Espírito Santo
2021-10-03;ES;Domingos Martins;city;4536;75;471;True;33850.0;33986.0;3201902.0;13346.67216;0.0165;Brazil;Espírito Santo
2021-10-03;ES;Dores do Rio Preto;city;822;14;464;True;6749.0;6771.0;3202009.0;12140.00886;0.017;Brazil;Espírito Santo
2021-10-03;ES;Ecoporanga;city;3932;73;464;True;22923.0;22835.0;3202108.0;17219.18108;0.0186;Brazil;Espírito Santo
2021-10-03;ES;Fundão;city;2828;68;490;True;21509.0;21948.0;3202207.0;12885.00091;0.024;Brazil;Espírito Santo
2021-10-03;ES;Governador Lindenberg;city;2272;32;464;True;12709.0;12880.0;3202256.0;17639.75155;0.0141;Brazil;Espírito Santo
2021-10-03;ES;Guarapari;city;17941;435;495;True;124859.0;126701.0;3202405.0;14160.10923;0.0242;Brazil;Espírito Santo
2021-10-03;ES;Guaçuí;city;3606;111;471;True;30867.0;31122.0;3202306.0;11586.65896;0.0308;Brazil;Espírito Santo
2021-10-03;ES;Ibatiba;city;4648;96;464;True;26082.0;26426.0;3202454.0;17588.73836;0.0207;Brazil;Espírito Santo
2021-10-03;ES;Ibiraçu;city;1933;44;486;True;12479.0;12591.0;3202504.0;15352.23572;0.0228;Brazil;Espírito Santo
2021-10-03;ES;Ibitirama;city;557;16;464;True;8889.0;8859.0;3202553.0;6287.39135;0.0287;Brazil;Espírito Santo
2021-10-03;ES;Iconha;city;2918;21;466;True;13860.0;13973.0;3202603.0;20883.13175;0.0072;Brazil;Espírito Santo
2021-10-03;ES;Importados/Indefinidos;city;4807;240;499;True;;;;;0.0499;Brazil;Espírito Santo
2021-10-03;ES;Irupi;city;1797;48;471;True;13377.0;13526.0;3202652.0;13285.52418;0.0267;Brazil;Espírito Santo
2021-10-03;ES;Itaguaçu;city;1778;20;464;True;14066.0;14023.0;3202702.0;12679.16994;0.0112;Brazil;Espírito Santo
2021-10-03;ES;Itapemirim;city;4780;148;495;True;34348.0;34656.0;3202801.0;13792.70545;0.031;Brazil;Espírito Santo
2021-10-03;ES;Itarana;city;1724;28;464;True;10555.0;10494.0;3202900.0;16428.4353;0.0162;Brazil;Espírito Santo
2021-10-03;ES;Iúna;city;3470;85;464;True;29161.0;29290.0;3203007.0;11847.04677;0.0245;Brazil;Espírito Santo
2021-10-03;ES;Jaguaré;city;4166;53;464;True;30477.0;31039.0;3203056.0;13421.82416;0.0127;Brazil;Espírito Santo
2021-10-03;ES;Jerônimo Monteiro;city;1597;39;478;True;12192.0;12265.0;3203106.0;13020.79087;0.0244;Brazil;Espírito Santo
2021-10-03;ES;João Neiva;city;2890;54;476;True;16668.0;16722.0;3203130.0;17282.6217;0.0187;Brazil;Espírito Santo
2021-10-03;ES;Laranja da Terra;city;1199;14;464;True;10947.0;10933.0;3203163.0;10966.79777;0.0117;Brazil;Espírito Santo
2021-10-03;ES;Linhares;city;28593;431;504;True;173555.0;176688.0;3203205.0;16182.76284;0.0151;Brazil;Espírito Santo
2021-10-03;ES;Mantenópolis;city;1004;46;464;True;15350.0;15503.0;3203304.0;6476.1659;0.0458;Brazil;Espírito Santo
2021-10-03;ES;Marataízes;city;7536;214;466;True;38499.0;38883.0;3203320.0;19381.22058;0.0284;Brazil;Espírito Santo
2021-10-03;ES;Marechal Floriano;city;3649;53;468;True;16694.0;16920.0;3203346.0;21566.19385;0.0145;Brazil;Espírito Santo
2021-10-03;ES;Marilândia;city;2163;29;464;True;12833.0;12963.0;3203353.0;16685.95233;0.0134;Brazil;Espírito Santo
2021-10-03;ES;Mimoso do Sul;city;3488;62;464;True;26153.0;26115.0;3203403.0;13356.30863;0.0178;Brazil;Espírito Santo
2021-10-03;ES;Montanha;city;1819;62;464;True;18833.0;18894.0;3203502.0;9627.39494;0.0341;Brazil;Espírito Santo
2021-10-03;ES;Mucurici;city;652;9;464;True;5524.0;5496.0;3203601.0;11863.17322;0.0138;Brazil;Espírito Santo
2021-10-03;ES;Muniz Freire;city;3166;46;464;True;17465.0;17319.0;3203700.0;18280.50118;0.0145;Brazil;Espírito Santo
2021-10-03;ES;Muqui;city;2384;55;464;True;15449.0;15526.0;3203809.0;15354.88857;0.0231;Brazil;Espírito Santo
2021-10-03;ES;Nova Venécia;city;6673;130;485;True;50110.0;50434.0;3203908.0;13231.15359;0.0195;Brazil;Espírito Santo
2021-10-03;ES;Pancas;city;2574;35;464;True;23184.0;23306.0;3204005.0;11044.36626;0.0136;Brazil;Espírito Santo
2021-10-03;ES;Pedro Canário;city;2356;62;476;True;26184.0;26381.0;3204054.0;8930.6698;0.0263;Brazil;Espírito Santo
2021-10-03;ES;Pinheiros;city;3596;87;464;True;27047.0;27327.0;3204104.0;13159.14663;0.0242;Brazil;Espírito Santo
2021-10-03;ES;Piúma;city;2966;86;473;True;21711.0;22053.0;3204203.0;13449.41731;0.029;Brazil;Espírito Santo
2021-10-03;ES;Ponto Belo;city;703;16;464;True;7863.0;7940.0;3204252.0;8853.90428;0.0228;Brazil;Espírito Santo
2021-10-03;ES;Presidente Kennedy;city;2351;53;476;True;11574.0;11658.0;3204302.0;20166.40933;0.0225;Brazil;Espírito Santo
2021-10-03;ES;Rio Bananal;city;3148;36;464;True;19141.0;19271.0;3204351.0;16335.42629;0.0114;Brazil;Espírito Santo
2021-10-03;ES;Rio Novo do Sul;city;1808;33;476;True;11622.0;11626.0;3204401.0;15551.35042;0.0183;Brazil;Espírito Santo
2021-10-03;ES;Santa Leopoldina;city;1220;28;480;True;12224.0;12197.0;3204500.0;10002.45962;0.023;Brazil;Espírito Santo
2021-10-03;ES;Santa Maria de Jetibá;city;6331;57;478;True;40431.0;41015.0;3204559.0;15435.81616;0.009;Brazil;Espírito Santo
2021-10-03;ES;Santa Teresa;city;4800;64;500;True;23590.0;23724.0;3204609.0;20232.67577;0.0133;Brazil;Espírito Santo
2021-10-03;ES;Serra;city;73963;1505;500;True;517510.0;527240.0;3205002.0;14028.33624;0.0203;Brazil;Espírito Santo
2021-10-03;ES;Sooretama;city;3720;62;490;True;30070.0;30680.0;3205010.0;12125.16297;0.0167;Brazil;Espírito Santo
2021-10-03;ES;São Domingos do Norte;city;1576;23;464;True;8638.0;8687.0;3204658.0;18142.05134;0.0146;Brazil;Espírito Santo
2021-10-03;ES;São Gabriel da Palha;city;7086;86;482;True;37947.0;38522.0;3204708.0;18394.68356;0.0121;Brazil;Espírito Santo
2021-10-03;ES;São José do Calçado;city;1312;71;481;True;10556.0;10546.0;3204807.0;12440.73582;0.0541;Brazil;Espírito Santo
2021-10-03;ES;São Mateus;city;13835;290;494;True;130611.0;132642.0;3204906.0;10430.33127;0.021;Brazil;Espírito Santo
2021-10-03;ES;São Roque do Canaã;city;1882;20;496;True;12415.0;12510.0;3204955.0;15043.96483;0.0106;Brazil;Espírito Santo
2021-10-03;ES;Vargem Alta;city;2672;45;464;True;21402.0;21591.0;3205036.0;12375.52684;0.0168;Brazil;Espírito Santo
2021-10-03;ES;Venda Nova do Imigrante;city;4741;53;484;True;25277.0;25745.0;3205069.0;18415.22626;0.0112;Brazil;Espírito Santo
2021-10-03;ES;Viana;city;9039;268;492;True;78239.0;79500.0;3205101.0;11369.81132;0.0296;Brazil;Espírito Santo
2021-10-03;ES;Vila Pavão;city;1082;17;464;True;9208.0;9244.0;3205150.0;11704.88966;0.0157;Brazil;Espírito Santo
2021-10-03;ES;Vila Valério;city;3318;34;477;True;14080.0;14073.0;3205176.0;23577.06246;0.0102;Brazil;Espírito Santo
2021-10-03;ES;Vila Velha;city;73564;1725;504;True;493838.0;501325.0;3205200.0;14673.91413;0.0234;Brazil;Espírito Santo
2021-10-03;ES;Vitória;city;64301;1268;504;True;362097.0;365855.0;3205309.0;17575.54222;0.0197;Brazil;Espírito Santo
2021-10-03;ES;Água Doce do Norte;city;1001;43;464;True;11019.0;10909.0;3200169.0;9175.9098;0.043;Brazil;Espírito Santo
2021-10-03;ES;Águia Branca;city;1952;61;464;True;9642.0;9631.0;3200136.0;20267.88495;0.0312;Brazil;Espírito Santo
2021-09-16;CE;Abaiara;city;628;16;444;True;11737.0;11853.0;2300101.0;5298.23673;0.0255;Brazil;Ceará
2021-09-16;CE;Acarape;city;2837;32;453;True;14929.0;15036.0;2300150.0;18868.05001;0.0113;Brazil;Ceará
2021-09-16;CE;Acaraú;city;5130;112;454;True;62641.0;63104.0;2300200.0;8129.43712;0.0218;Brazil;Ceará
2021-09-16;CE;Acopiara;city;4076;151;458;True;54270.0;54481.0;2300309.0;7481.50731;0.037;Brazil;Ceará
2021-09-16;CE;Aiuaba;city;837;11;437;True;17399.0;17493.0;2300408.0;4784.77105;0.0131;Brazil;Ceará
2021-09-16;CE;Alcântaras;city;1796;22;452;True;11714.0;11781.0;2300507.0;15244.88583;0.0122;Brazil;Ceará
2021-09-16;CE;Altaneira;city;683;15;411;True;7586.0;7650.0;2300606.0;8928.10458;0.022;Brazil;Ceará
2021-09-16;CE;Alto Santo;city;1945;35;448;True;17146.0;17196.0;2300705.0;11310.76995;0.018;Brazil;Ceará
2021-09-16;CE;Amontada;city;2944;57;465;True;43452.0;43829.0;2300754.0;6717.01385;0.0194;Brazil;Ceará
2021-09-16;CE;Antonina do Norte;city;810;26;441;True;7353.0;7378.0;2300804.0;10978.58498;0.0321;Brazil;Ceará
2021-09-16;CE;Apuiarés;city;1380;25;449;True;14600.0;14672.0;2300903.0;9405.67067;0.0181;Brazil;Ceará
2021-09-16;CE;Aquiraz;city;6858;94;485;True;80271.0;80935.0;2301000.0;8473.46636;0.0137;Brazil;Ceará
2021-09-16;CE;Aracati;city;8039;165;466;True;74547.0;74975.0;2301109.0;10722.24075;0.0205;Brazil;Ceará
2021-09-16;CE;Aracoiaba;city;4301;35;456;True;26469.0;26535.0;2301208.0;16208.78086;0.0081;Brazil;Ceará
2021-09-16;CE;Ararendá;city;1416;22;449;True;10935.0;10959.0;2301257.0;12920.88694;0.0155;Brazil;Ceará
2021-09-16;CE;Araripe;city;1367;23;452;True;21600.0;21654.0;2301307.0;6312.9214;0.0168;Brazil;Ceará
2021-09-16;CE;Aratuba;city;1653;12;437;True;11847.0;11802.0;2301406.0;14006.10066;0.0073;Brazil;Ceará
2021-09-16;CE;Arneiroz;city;674;17;450;True;7840.0;7844.0;2301505.0;8592.55482;0.0252;Brazil;Ceará
2021-09-16;CE;Assaré;city;2342;44;437;True;23417.0;23478.0;2301604.0;9975.29602;0.0188;Brazil;Ceará
2021-09-16;CE;Aurora;city;1818;38;438;True;24654.0;24610.0;2301703.0;7387.24096;0.0209;Brazil;Ceará
2021-09-16;CE;Baixio;city;715;13;421;True;6288.0;6303.0;2301802.0;11343.80454;0.0182;Brazil;Ceará
